Age,Months,State,Cumulative Incidence,"95% Confidence Interval, Lower","95% Confidence Interval, Upper",Survey Year
8,29,AZ,1.254836348,0.717986183,2.192217665,2016
8,30,AZ,1.46397574,0.872289125,2.45602555,2016
8,31,AZ,1.46397574,0.872289125,2.45602555,2016
8,32,AZ,1.568545436,0.950822022,2.586548067,2016
8,33,AZ,1.777684827,1.110236623,2.845244294,2016
8,34,AZ,1.986824218,1.272361197,3.101230547,2016
8,35,AZ,2.405103001,1.603237504,3.606575895,2016
8,36,AZ,2.823381784,1.941189845,4.104845209,2016
8,37,AZ,3.137090871,2.198393096,4.4748082,2016
8,38,AZ,3.241660567,2.284745788,4.597510922,2016
8,39,AZ,3.450799958,2.458293368,4.842074169,2016
8,40,AZ,3.555369654,2.545463526,4.963959425,2016
8,41,AZ,3.764509045,2.720541238,5.206992541,2016
8,42,AZ,4.078218132,2.984856949,5.569843071,2016
8,43,AZ,4.078218132,2.984856949,5.569843071,2016
8,44,AZ,4.182787828,3.073381052,5.690374382,2016
8,45,AZ,4.391927219,3.251012386,5.930853876,2016
8,46,AZ,4.496496915,3.340106095,6.05081558,2016
8,47,AZ,4.601066611,3.429376793,6.170600296,2016
8,48,AZ,4.705636307,3.518818632,6.290213871,2016
8,49,AZ,5.019345394,3.788117142,6.648081602,2016
8,50,AZ,5.437624177,4.149273303,7.123147097,2016
8,51,AZ,5.751333264,4.421562878,7.478023763,2016
8,52,AZ,5.855902959,4.512577519,7.596064536,2016
8,53,AZ,6.169612046,4.786330673,7.949477623,2016
8,54,AZ,6.274181742,4.877808292,8.067055418,2016
8,55,AZ,6.587890829,5.152882837,8.419147115,2016
8,56,AZ,6.797030221,5.33677582,8.653364959,2016
8,57,AZ,6.901599916,5.428868358,8.770327835,2016
8,58,AZ,7.215309003,5.705704678,9.120657757,2016
8,59,AZ,7.319878699,5.798163054,9.237254795,2016
8,60,AZ,7.319878699,5.798163054,9.237254795,2016
8,61,AZ,7.424448395,5.890708089,9.353765173,2016
8,62,AZ,7.633587786,6.076051053,9.586533036,2016
8,63,AZ,7.738157482,6.168845588,9.702793915,2016
8,64,AZ,7.842727178,6.26171999,9.818974928,2016
8,65,AZ,8.365575656,6.727237128,10.39873486,2016
8,66,AZ,8.470145352,6.820559665,10.51446774,2016
8,67,AZ,8.888424135,7.194536833,10.97671222,2016
8,68,AZ,8.99299383,7.288196901,11.09210757,2016
8,69,AZ,9.097563526,7.381921009,11.20743887,2016
8,70,AZ,9.097563526,7.381921009,11.20743887,2016
8,71,AZ,9.411272613,7.66346693,11.55305919,2016
8,72,AZ,9.620412005,7.85146541,11.78317154,2016
8,73,AZ,9.620412005,7.85146541,11.78317154,2016
8,74,AZ,9.7249817,7.945552112,11.89814025,2016
8,75,AZ,9.829551396,8.039695896,12.01305188,2016
8,76,AZ,10.03869079,8.228151169,12.24270744,2016
8,77,AZ,10.03869079,8.228151169,12.24270744,2016
8,78,AZ,10.14326048,8.322460945,12.35745308,2016
8,79,AZ,10.24783018,8.416824377,12.47214506,2016
8,80,AZ,10.24783018,8.416824377,12.47214506,2016
